Admin2,Province_State,Combined_Key,11/8/21,11/9/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21,11/17/21
Autauga,Alabama,"Autauga, Alabama, US",10335,10350,10355,10373,10383,10401,10403,10407,10419,10423
Escambia,Alabama,"Escambia, Alabama, US",6892,6896,6894,6902,6908,6912,6913,6916,6921,6923
Kent,Delaware,"Kent, Delaware, US",26622,26630,26715,26786,26885,26939,27031,27051,27047,27083
New Castle,Delaware,"New Castle, Delaware, US",83071,83110,83253,83446,83692,83851,84042,84140,84157,84235
Sussex,Delaware,"Sussex, Delaware, US",35992,36009,36056,36103,36186,36261,36318,36345,36348,36372
Honolulu,Hawaii,"Honolulu, Hawaii, US",58323,58356,58425,58476,58537,58576,58618,58651,58684,58778
Kalawao,Hawaii,"Kalawao, Hawaii, US",0,0,0,0,0,0,0,0,0,0
Maui,Hawaii,"Maui, Hawaii, US",10022,10027,10041,10061,10076,10092,10108,10124,10131,10142
Coshocton,Ohio,"Coshocton, Ohio, US",5108,5120,5139,5169,5192,5215,5227,5245,5274,5309
Cuyahoga,Ohio,"Cuyahoga, Ohio, US",151850,152302,152827,153372,154006,154623,155077,155557,156064,156720
Gallia,Ohio,"Gallia, Ohio, US",4359,4370,4384,4401,4413,4430,4434,4439,4465,4486
Greene,Ohio,"Greene, Ohio, US",22978,23034,23089,23137,23206,23245,23295,23329,23388,23437
Boone,West Virginia,"Boone, West Virginia, US",3742,3749,3761,3778,3799,3809,3815,3818,3827,3842
Monongalia,West Virginia,"Monongalia, West Virginia, US",13752,13770,13796,13838,13858,13890,13931,13949,13976,14022
