Admin2,Province_State,Combined_Key,11/8/21,11/9/21,11/10/21,11/11/21,11/12/21,11/13/21,11/14/21,11/15/21,11/16/21
Autauga,Alabama,"Autauga, Alabama, US",151,152,152,152,152,154,154,154,154
Escambia,Alabama,"Escambia, Alabama, US",139,139,139,139,139,139,139,139,139
Kent,Delaware,"Kent, Delaware, US",452,454,454,454,454,460,460,460,460
New Castle,Delaware,"New Castle, Delaware, US",1029,1031,1032,1032,1032,1039,1039,1039,1041
Sussex,Delaware,"Sussex, Delaware, US",638,639,639,639,639,642,642,642,642
Honolulu,Hawaii,"Honolulu, Hawaii, US",718,718,724,727,731,731,732,732,732
Kalawao,Hawaii,"Kalawao, Hawaii, US",0,0,0,0,0,0,0,0,0
Maui,Hawaii,"Maui, Hawaii, US",98,98,98,98,98,98,98,98,98
Coshocton,Ohio,"Coshocton, Ohio, US",100,100,100,100,100,100,100,100,100
Cuyahoga,Ohio,"Cuyahoga, Ohio, US",2574,2574,2574,2574,2575,2575,2575,2575,2575
Gallia,Ohio,"Gallia, Ohio, US",77,77,77,77,77,77,77,77,77
Greene,Ohio,"Greene, Ohio, US",359,359,359,359,359,359,359,359,359
Boone,West Virginia,"Boone, West Virginia, US",59,59,60,60,60,60,60,61,61
Monongalia,West Virginia,"Monongalia, West Virginia, US",141,141,144,145,145,145,145,145,146
